"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP HOLL","Cla","N16-1296","11","P","T",NA,NA,2017,2,32,14,1.5,NA,887.3,18.7,NA,41.55,23.94,65.49,"32*N16-1296*LP HOLL*Cla*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1296","11",".",".","CAMP",NA,2017,3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41*N16-1296*LP HOLL*Cla*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1297","12","P","T",NA,NA,2017,1,6,12,2,NA,1386.7,19.2,NA,39.44,24.14,63.58,"6*N16-1297*LP HOLL*Cla*2017*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1297","12","P","T",NA,NA,2017,2,24,15,1.5,NA,834.9,18.9,NA,41.32,23.4,64.72,"24*N16-1297*LP HOLL*Cla*2017*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","N16-1297","12",".",".","CAMP",NA,2017,3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42*N16-1297*LP HOLL*Cla*2017*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","NC15-25030","13","P","S",NA,NA,2017,1,13,11,3,NA,1093.2,14.4,NA,43.19,21.04,64.23,"13*NC15-25030*LP HOLL*Cla*2017*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","NC15-25030","13","P","S",NA,NA,2017,2,18,10,2,NA,1065.6,13.7,NA,41.3,21.61,62.91,"18*NC15-25030*LP HOLL*Cla*2017*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","NC15-25030","13","W","S",NA,NA,2017,3,36,10,1.5,NA,1304.9,NA,NA,38.55,22.49,61.04,"36*NC15-25030*LP HOLL*Cla*2017*13",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","NC-ROY","14","W","G",NA,NA,2017,1,9,20,3,NA,1198.7,12.5,NA,41.44,22.23,63.67,"9*NC-ROY*LP HOLL*Cla*2017*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","NC-ROY","14","W","G",NA,NA,2017,2,19,22,2.5,NA,1327.4,13.3,NA,41.67,22.06,63.73,"19*NC-ROY*LP HOLL*Cla*2017*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","NC-ROY","14","W","G","Harv LB",NA,2017,3,46,20,3,NA,1282.8,NA,NA,43.41,21.4,64.81,"46*NC-ROY*LP HOLL*Cla*2017*14",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","Miller","15","P","G",NA,NA,2017,1,8,13,1.5,NA,1159.3,16.3,NA,37.14,24.62,61.76,"8*Miller*LP HOLL*Cla*2017*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","Miller","15","P","G",NA,NA,2017,2,23,14,1.5,NA,1527.2,18,NA,35.84,25.1,60.94,"23*Miller*LP HOLL*Cla*2017*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP HOLL","Cla","Miller","15","P","G",NA,NA,2017,3,40,15,1.5,NA,1143.2,NA,NA,38.23,23.94,62.17,"40*Miller*LP HOLL*Cla*2017*15",NA,NA,NA,NA,NA,NA,NA,NA,NA
